,id,CollegeCode,MajorCode,MajorName,PlanNature,PlannedEnrollmentCount,MajorLowestAdmissionScore,MajorRegisteredApplicantsCount,DurationOfStudy,TuitionFee,LocationOfSchool,MajorNotes,ranking
264,1563,F37,05,法学,非定向,1,457,1,4,17000,福建厦门,,8107
265,1571,227,05,思想政治教育,非定向,2,389,3,4,21000,南昌市,,17250
266,1572,E86,05,旅游管理,非定向,1,412,1,4,5200,校本部,,14081
267,1573,838,05,新能源汽车工程,非定向,2,393,2,4,26000,净月南校区,,16696
268,1574,D34,05,市场营销,非定向,1,382,2,4,29800,肇庆校区,,18266
269,1576,696,05,旅游管理,非定向,2,402,2,4,,七里坪校区,,15431
270,1578,404,05,电子商务及法律,非定向,2,456,2,4,5000,校本部,,8255
271,1579,764,05,思想政治教育,非定向,44,463,50,4,4200,校本部,,7411
272,1580,J66,05,会计学,非定向,2,409,2,4,15000,校本部,,14492
273,1581,G16,05,预防医学,非定向,3,395,0,5,41544,长沙校区,,16438
274,1584,787,05,审计学,非定向,5,428,5,4,15000,天津市宝坻区,,11868
275,1586,238,05,物流管理,非定向,2,489,2,4,5200,旅顺口校区,,4718
276,1594,645,05,金融学,非定向,2,463,2,4,5060,校本部,,7411
277,1596,707,05,针灸推拿学,非定向,1,479,1,5,7150,金海校区,不录取色盲、色弱考生,5673
278,1599,927,05,教育学类（师范类）,非定向,3,466,3,4,4180,桂林洋校区,包含专业：教育学、学前教育、特殊教育,7074
279,1605,487,05,金融学,非定向,2,390,2,4,13000,校本部,,17106
280,1609,G54,05,法学,非定向,1,434,1,4,13000,共青城市校区,,11066
281,1610,917,05,学前教育（师范类）,非定向,3,448,4,4,5200,江宁校区，第一学年,,9267
282,1612,A67,05,针灸推拿学,非定向,1,482,1,5,4350,小蓝校区,不招色盲色弱考生,5380
283,1614,973,05,金融学,非定向,2,388,2,4,19800,校本部,校校联合培养，详见招生章程,17390
284,1615,H15,05,国际经济与贸易,非定向,4,382,1,4,26800,校本部,,18266
285,1619,A01,05,投资学,非定向,1,386,1,4,24000,校本部,,17686
286,1621,N41,05,财务管理,非定向,1,410,1,4,22800,校本部,,14357
287,1623,873,05,俄语,非定向,1,408,1,4,4500,校本部,,14636
288,1625,D72,05,中医学,非定向,1,476,3,5,19500,渤海校区,,5964
289,1629,A98,05,法学,非定向,2,464,3,4,21000,,,7292
290,1630,045,05,工商管理类,非定向,3,466,3,4,4500,江北校区,不招单色识别不全者。包含专业：工商管理、人力资源管理、市场营销、国际商务,7074
291,1632,G28,05,知识产权,非定向,4,460,5,4,4400,主校区,,7762
292,1635,823,05,小学教育（师范类）,非定向,3,475,3,4,4800,,,6063
293,1636,585,05,金融学,非定向,2,389,3,4,24000,长安校区,,17250
294,1641,766,05,历史学（师范类）,非定向,31,441,35,4,4200,校本部,,10173
295,1645,511,05,金融学,非定向,2,389,2,4,23000,主校区,,17250
296,1647,367,05,小学教育,非定向,2,389,2,4,23500,主校区,,17250
297,1649,704,05,工商管理类,非定向,8,389,9,4,15000,校本部,包含专业：工商管理、市场营销、人力资源管理、物流管理、酒店管理,17250
298,1650,K67,05,汉语言文学,非定向,1,444,1,4,17000,宜宾校区,,9776
299,1651,876,05,商务英语,非定向,4,390,3,4,4500,本校区,,17106
300,1653,059,05,人力资源管理,非定向,1,476,1,4,4200,北京校本部。低年级在涿州校区就读，详见招生章程。,,5964
301,1655,P25,05,针灸推拿学,非定向,1,468,1,5,4600,和平校区,不招色盲色弱考生,6832
302,1658,723,05,工程审计,非定向,2,400,3,4,16180,校本部,,15715
303,1660,041,05,经济学,非定向,2,458,3,4,4500,校本部,,7998
304,1661,H96,05,金融学,非定向,1,433,1,4,24750,校本部,,11191
305,1662,K40,05,中医儿科学,非定向,2,479,2,5,5200,主校区,色盲、色弱不予录取,5673
306,1666,808,05,英语,非定向,12,382,13,4,30000,校本部,,18266
307,1667,F89,05,市场营销,非定向,2,379,0,4,49800,北京市大兴区,,18670
308,1671,C07,05,金融学,非定向,1,382,1,4,18000,校本部,,18266
309,1675,021,05,人力资源管理,非定向,1,467,1,4,5200,金石滩校区,,6953
310,1676,B35,05,汉语言文学（师范类）,非定向,2,462,3,4,4950,校本部,,7537
311,1679,852,05,汉语言文学（师范类）,非定向,4,470,4,4,5060,经开校区,,6623
312,1680,739,05,汉语国际教育,非定向,3,393,3,4,24800,,,16696
313,1681,E87,05,新闻学,非定向,100,397,117,4,16000,校本部,,16180
314,1685,729,05,政治学与行政学,非定向,2,446,2,4,5000,校本部,,9517
315,1699,C23,05,财务管理,非定向,2,379,1,4,79800,校本部,,18670
316,1703,976,06,汉语言文学,非定向,3,462,3,4,4180,三亚校区,,7537
317,1705,705,06,英语,非定向,5,398,5,4,13000,校本部,,16011
318,1707,227,06,学前教育,非定向,1,388,2,4,24600,南昌市,,17390
319,1708,E86,06,酒店管理,非定向,1,397,2,4,5200,校本部,,16180
320,1710,696,06,会计学,非定向,2,445,2,4,,七里坪校区,,9650
321,1713,764,06,汉语言文学,非定向,39,473,44,4,4200,校本部,,6260
