,id,PreferenceOrder,CategoryName,AdmissionPlanCount,CollegeName,CollegeCode,AdmissionRatio,LowestScoreAdmissionRatio,LowestAdmissionScore,ExpectedApplicantsCount,RegisteredApplicantsCount,Shortfall_Count,AdmissionRegulationsURL,ranking,CollegeLevel,CollegeProvince,CollegeCity
118,3267,本科二批第一次,理科,15,南宁学院（民办）,P27,1:1,333,333,15,6,9,,58641,,广西壮族自治区,南宁市
119,3321,本科二批第三次,理科,32,哈尔滨广厦学院（民办）,B85,1:1,333,333,32,24,8,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1649.dhtml,60194,,黑龙江省,哈尔滨市
120,3356,本科二批第二次,理科,15,河北工程技术学院（民办）,125,1:1,333,333,15,11,4,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1277.dhtml,60194,,河北省,邯郸市
121,3357,本科二批第一次,理科,18,安徽农业大学,079,1:1,416,416,18,18,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-281.dhtml,30293,,安徽省,合肥市
122,3368,本科二批第一次,理科,11,西南交通大学希望学院（独立学院）,J05,1:1,395,395,11,15,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-18907077.dhtml,36258,,四川省,成都市
123,3381,本科二批第一次,理科,10,石家庄铁道大学四方学院（独立学院）,D05,1:1,396,396,10,13,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1838.dhtml,39906,,河北省,石家庄市
124,3392,本科二批第一次,理科,3,渤海大学,820,1:1,429,429,3,3,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-141.dhtml,30293,,辽宁省,锦州市
125,3420,本科二批第一次,理科,11,青岛城市学院（民办）,482,1:1,333,333,11,11,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1701.dhtml,56992,,山东省,青岛市
126,3438,本科二批第一次,理科,6,郑州工商学院（民办）,H47,1:1,333,333,6,5,1,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1780.dhtml,55654,,河南省,郑州市
127,3440,本科二批第一次,理科,3,上海杉达学院（民办）,A02,1:1,333,333,3,2,1,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-932.dhtml,48200,,上海市,上海市
