,id,PreferenceOrder,CategoryName,AdmissionPlanCount,CollegeName,CollegeCode,AdmissionRatio,LowestScoreAdmissionRatio,LowestAdmissionScore,ExpectedApplicantsCount,RegisteredApplicantsCount,Shortfall_Count,AdmissionRegulationsURL,MajorCode,MajorName,PlanNature,PlannedEnrollmentCount,MajorLowestAdmissionScore,MajorRegisteredApplicantsCount,DurationOfStudy,TuitionFee,LocationOfSchool,MajorNotes,ranking,CollegeLevel,CollegeProvince,CollegeCity
1008,4022,本科二批第一次,文科,25,山东女子学院,G28,1:1,405,405,25,25,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-6278817.dhtml,18,人力资源管理,非定向,4,426,4,4,6300,主校区,,12136,,山东省,济南市
1009,4023,本科二批第一次,文科,6,西安科技大学高新学院（独立学院）,750,1:1,394,394,6,6,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-3586279.dhtml,18,学前教育,非定向,3,395,5,4,20000,校本部,,16438,,陕西省,西安市
1010,4031,本科二批第一次,文科,20,西安培华学院（民办）,950,1:1,409,409,20,20,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-795.dhtml,18,工程造价,非定向,1,411,1,4,21780,,,14212,,陕西省,西安市
1011,4032,本科二批第一次,文科,5,哈尔滨学院,A12,1:1,409,409,5,5,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-190.dhtml,18,英语（师范类）,非定向,1,409,1,4,2500,校本部,,14492,,黑龙江省,哈尔滨市
1012,4033,本科二批第一次,文科,6,河南农业大学,590,1:1,447,447,6,6,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-367.dhtml,18,经济学,非定向,1,459,1,4,4400,,,7873,,河南省,郑州市
1013,4036,本科二批第一次,文科,27,海南热带海洋学院,976,1:1,393,393,27,28,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-729.dhtml,18,电子商务,非定向,2,435,2,4,4620,三亚校区,,10940,,海南省,三亚市
1014,4037,本科二批第一次,文科,19,河南牧业经济学院,M72,1:1,405,405,19,20,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-369.dhtml,18,网络与新媒体,非定向,9,415,9,4,4400,英才校区,,13636,,河南省,郑州市
1015,4038,本科二批第一次,文科,20,齐鲁理工学院（民办）,F66,1:1,386,386,20,21,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-427247.dhtml,18,医学影像技术,非定向,3,386,2,4,27500,济南校区,,17686,,山东省,济南市
1016,4044,本科二批第一次,文科,33,西安外事学院（民办）,945,1:1,384,384,33,36,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1196.dhtml,18,人力资源管理,非定向,2,399,3,4,24000,校本部,,15875,,陕西省,西安市
1017,4051,本科二批第一次,文科,9,琼台师范学院,D52,1:1,447,447,9,10,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-2050.dhtml,18,学前教育（师范类）,非定向,2,448,2,4,4620,桂林洋校区,,9267,,海南省,海口市
