,id,PreferenceOrder,CategoryName,AdmissionPlanCount,CollegeName,CollegeCode,AdmissionRatio,LowestScoreAdmissionRatio,LowestAdmissionScore,ExpectedApplicantsCount,RegisteredApplicantsCount,Shortfall_Count,AdmissionRegulationsURL,MajorCode,MajorName,PlanNature,PlannedEnrollmentCount,MajorLowestAdmissionScore,MajorRegisteredApplicantsCount,DurationOfStudy,TuitionFee,LocationOfSchool,MajorNotes,ranking,CollegeLevel,CollegeProvince,CollegeCity
943,1260,本科一批第一次,理科,119,南华大学,464,1:1,451,451,119,131,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-427.dhtml,0H,人工智能,非定向,2,503,2,4,5900,雨母校区,,13146.0,,湖南省,衡阳市
944,1261,本科一批第一次,理科,68,华北电力大学（保定）,131,1:1,524,524,68,70,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-69.dhtml,0H,工业工程,非定向,1,542,1,4,5500,校本部,,7110.0,['DFC'],河北省,保定市
945,1263,本科一批第二次,理科,72,中国民用航空飞行学院,362,1:1,466,466,72,76,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-481.dhtml,0H,交通工程（机场管理与工程）,非定向,3,466,2,4,,校本部,无色盲色弱。,20873.0,,四川省,德阳市
946,1264,本科一批第一次,理科,44,安徽大学,920,1:1,497,497,44,45,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-275.dhtml,0H,电子信息工程,非定向,2,571,3,4,6480,磬苑校区,,3785.0,"['211', 'DFC']",安徽省,合肥市
947,1265,本科一批第一次,理科,28,青岛理工大学,173,1:1,458,458,28,29,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-335.dhtml,0H,机械设计制造及其自动化,非定向,2,479,2,4,6600,嘉陵江路校区,,17915.0,,山东省,青岛市
948,1268,本科一批第一次,理科,1906,内蒙古工业大学,753,1:1.05,434,434,2002,1774,228,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-109.dhtml,0J,计算机科学与技术,非定向,28,500,47,4,4600,金川校区,,13724.0,,内蒙古自治区,呼和浩特市
949,1269,本科一批第一次,理科,20,北京信息科技大学,897,1:1,483,483,20,21,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-742.dhtml,0J,计算机科学与技术,非定向,2,555,2,4,4600,太行路校区,,5442.0,,北京市,北京市
950,1270,本科一批第一次,理科,19,哈尔滨医科大学,878,1:1,482,482,19,22,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-184.dhtml,0J,生物信息学,非定向,3,487,3,5,5000,校本部,,16260.0,,黑龙江省,哈尔滨市
951,1271,本科一批第一次,理科,42,沈阳建筑大学,150,1:1,439,439,42,44,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-129.dhtml,0J,计算机科学与技术,非定向,1,514,3,4,5200,主校区,,11259.0,,辽宁省,沈阳市
952,1272,本科一批第一次,理科,28,大连外国语大学,033,1:1,434,434,28,28,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-144.dhtml,0J,德语,非定向,1,446,1,4,8000,主校区,,25814.0,,辽宁省,大连市
